name,topic,pagerank
白云,692,1.4293705070746807
千里,692,1.194958059541934
万里,692,1.1021615921784904
不见,692,0.9529485844872781
春风,692,1.2837043735690374
不得,692,0.4702107262661974
故人,692,1.6597936823539137
悠悠,692,0.7364936213088106
今日,692,0.952638243327603
十年,707,0.9036001907587973
白日,707,1.3236078075220736
天子,707,1.7669090174959294
主人,707,0.9414824890146077
长安,707,1.3933451527873995
不知,692,1.3349852918370844
天地,707,1.8014823629840524
秋风,692,1.1951262375897562
相思,692,1.0919116604748444
可怜,692,0.716126487020424
相逢,692,0.9606916099335525
落日,692,1.4697539631637588
日月,707,2.30865763483452
何事,692,0.7279978990092131
不如,707,2.3204673187828084
何处,692,1.9244451428877258
月明,692,0.6590659942382572
天涯,692,0.5199585080930788
何人,692,0.860772422101781
青山,707,0.8842297262381563
何如,707,1.366002389371572
将军,707,1.1965293218216893
惆怅,692,0.7255472882958258
归来,707,1.0899225937408863
风吹,692,1.0277059978444005
无事,707,1.1426886390513722
无人,692,0.9134772837673778
夕阳,692,0.6524362207035682
白发,692,0.4583351686004139
苍苍,707,0.7978676664562061
黄金,707,1.850468030067326
清风,707,0.8347357948284659
行人,692,0.6055256285146139
平生,707,0.7446177153210212
归去,707,0.795285453454878
分明,707,0.9463009961798383
参差,692,0.5312996318361682
明月,692,1.2641392599429724
少年,707,2.3198298935526886
今朝,707,2.0244376565120272
如何,707,1.402798227391842
天下,707,1.6152911759217115
江上,692,1.5903369156852847
别离,692,0.6297420317504557
白头,707,1.2840587434711939
裴回,692,0.4879032524525005
回首,692,0.8148089588634874
风尘,707,0.8538366033358934
人间,692,0.7442253833430131
日暮,692,0.674867573039236
纷纷,707,1.1910185522599017
此时,692,0.5400112418084353
萧萧,692,0.6363209014020909
烟霞,692,0.5895065708420045
寂寞,692,0.5522907225480173
草木,707,1.3780031317102956
芳草,692,0.8549084277798584
君子,707,1.0432866225253237
萧条,707,0.47587602983584615
青云,707,0.8712861257474181
有时,707,0.578759999864676
相见,692,0.664580346360388
风雨,707,2.2214762875806424
乾坤,707,0.7937527274720887
洛阳,692,0.45462929528976204
文章,707,1.1363565099353574
浮云,707,1.6336347346304723
风流,707,0.8093473611705451
山川,707,0.8368528835244146
芙蓉,707,0.7933699794578076
寂寥,707,0.8099477191369578
至今,707,1.0220050587757763
流水,692,0.9807203951420054
感激,707,0.8938568518632243
尘埃,692,0.5000599996829362
百年,707,1.9177675583274574
三年,707,1.3983675916495064
何时,707,1.0593060209014764
殷勤,707,0.6424733156773555
门前,707,1.293671143875716
此地,692,0.7928807860388253
千年,707,0.7489612665502542
年年,692,0.6561494809531673
先生,707,1.1034475759307774
白首,707,1.028449464307114
一声,707,0.9505328841984917
寂寂,707,0.8755778607264958
春草,692,0.5366861892624775
自然,707,1.1477608304799465
不能,707,2.0865583478668728
使君,707,0.8529839941771901
才子,707,0.6631188810541015
桃李,707,1.2197951596647765
人心,707,0.6701436048594516
一枝,707,0.9243733428949695
眼前,707,0.8679417411234007
不是,707,1.9531783749868155
桃花,707,0.36393224987019424
旌旗,707,0.7485665776979503
故乡,707,0.6690597091870577
圣朝,745,0.33984097757239345
花开,707,1.9878496120712956
落花,707,0.8303614957948082
孤舟,707,1.0602718688367792
世间,707,1.3613984182183305
夫子,707,1.1098536832316461
南山,692,0.48427175033700515
昨日,707,1.02497564952306
一身,707,1.1127538829204144
洞庭,692,0.8717383496280555
与君,707,1.6210632964955825
山中,692,0.5747120414306396
几时,707,0.5881561673604568
如今,707,0.9955333342918374
风起,692,0.46825799102018445
借问,707,0.6412435405827837
楼台,707,0.6610582605493768
谁知,692,0.5178625046167026
纵横,707,1.0258006699638327
鸳鸯,707,1.0832900298290227
终日,707,1.475297673854703
携手,692,0.4300008596077249
不同,707,0.8425472210528419
此身,707,0.7730412544619175
江湖,707,0.7437944610228835
蹉跎,707,0.7778928088652861
空山,707,1.0824079999573457
漠漠,707,0.5290621766231719
知音,707,0.7870455553841642
新诗,707,0.833937776093067
怅望,707,0.4335688245663131
世人,707,1.3755708248395844
唯有,707,1.1382523476058632
不堪,692,0.5023065306332987
从此,692,0.7621844564415077
沧海,692,0.43022059789490696
公子,707,0.713767713394589
草色,707,1.1730129044035635
谁能,707,1.818840258896609
一朝,707,1.5012835579812547
无限,707,0.7958995712793308
奈何,707,0.7241966456694457
明主,707,0.6045384055854398
尽日,707,0.8325221989134393
谁家,707,1.9116977132093023
诸侯,707,0.7388209176046364
焚香,707,0.5925229044322932
青春,707,1.045603653098893
不及,707,1.6721137594017788
故园,707,0.8248326245930977
颜色,707,1.5181435446668785
知己,707,0.7569255145523122
四海,707,0.9997761594802996
高楼,707,1.2217179676087533
不觉,707,1.0725559847018857
是非,707,0.94239449266319
时节,707,0.7834609118015698
山水,692,0.5904231435113554
为君,707,1.9334136422020143
东西,707,1.1729807711664901
人家,707,0.5355155918811563
岁月,707,1.1072099308141858
君王,707,1.2682926091466709
未得,707,0.9982980616352323
天上,707,1.1516268914223986
山色,707,0.434891420354292
人生,707,1.8050812222090153
何为,707,1.0916486349908638
闻道,707,1.0543088022193128
江南,692,0.39030651313140985
无心,707,1.0130211156056361
无因,707,0.9664815606781473
三千,707,0.9396439500412552
当时,707,1.3900263548406966
美人,707,1.6752767422101928
云中,707,0.7351471409082345
逍遥,707,0.6778827199758181
青天,707,1.1352852754157496
扁舟,692,0.4790769482204256
一日,707,1.5810609841351382
来时,745,0.7613720012194735
潇湘,707,0.6244206802088332
衣裳,707,0.7762789871831984
古人,707,1.523707874931079
明朝,707,1.1989042672551464
富贵,707,0.7173564571746489
生死,707,0.851484729040017
安得,707,2.1716103084089484
万古,707,0.8158013914460189
淹留,707,0.7707275405867643
秋月,707,0.8048556946684444
归路,707,0.8307853642925725
丈夫,707,0.8977450019848663
中有,707,1.6266856134463934
如此,707,2.2532788700316826
一生,707,1.1886689873972232
往来,707,0.7157951663978885
千载,707,0.9034844200306374
蓬莱,707,0.9088424552683435
秋水,692,0.3796268621884697
一醉,7795,0.6588770758858249
一杯,707,0.9744993760648686
海上,707,1.1191503680785462
送君,707,1.1570709735203033
始知,707,1.1040204677799483
此中,707,1.0028648169052423
知君,692,0.45118267463587997
江水,692,0.48112317555845263
林下,707,1.0699037965915406
落叶,707,0.9188254381637649
子孙,707,0.5668290924157067
须臾,707,0.8522781458669928
王孙,707,1.1089780637668418
青青,707,0.9102780007660675
月中,707,1.0966829219993957
山下,692,0.40268999717187104
东风,707,1.5605362907292728
黄昏,707,0.48919076881215545
神仙,707,1.0481940359821935
百里,707,0.6947406376549287
秋色,707,1.4539485075134
几年,707,0.7099426594021604
零落,707,0.7884955180109208
自知,707,0.633098445265672
他日,707,0.6568731757459257
车马,707,0.6558130141251364
明日,707,0.8536426926318142
水流,707,1.4092081112196726
无穷,707,1.1158235335826427
茫茫,707,0.7372025424279555
此去,692,0.44256822299145787
登临,707,0.6663968115383929
我来,745,1.75352313768642
远山,707,0.9642000706920903
不识,707,1.4970195539565447
相访,6582,0.5474582965923012
题诗,707,0.4441514971888842
孤城,707,0.5910586245264591
自有,707,0.9661366151061445
家贫,9125,0.9343354503698027
时人,707,0.9295695464544301
西风,707,1.3436603109820922
生涯,707,0.7581585632859655
潺湲,707,0.8841886308800223
旧游,707,0.9426152292512695
仙人,707,0.6132938124900185
为客,707,1.020462353526329
读书,707,0.6359478300577065
造化,707,0.8753474258579214
此生,707,1.095211502472417
叹息,707,0.7222528468161039
徘徊,707,0.8332563625664948
相望,707,0.5772887728534077
翩翩,707,0.6455664758237235
道路,707,0.5600399857716853
秋草,707,0.7397230885315749
花发,707,1.1642881159153131
早晚,707,1.1209887715588869
自怜,707,0.3158450891868091
独立,707,1.0409052845826383
公卿,707,0.6677000548613332
婵娟,707,0.8016555146375072
一曲,707,2.1681957866353336
东山,707,0.6993628746627839
经过,707,0.6446294175863375
日夕,707,1.0452320900774115
沧洲,692,0.4677408519666206
白雪,707,0.7908162020475448
杨柳,692,0.530631052716171
南国,707,0.6299732318660906
可惜,707,0.5311835142978579
三十,707,1.5979674432175297
不闻,707,1.1358526625366407
有余,707,1.3772120550639018
相忆,707,0.8095140023305497
处处,707,0.6905505383512222
云山,707,1.0979801726231553
飘飖,707,0.7810117835285687
十载,707,1.0328438027513676
花落,692,0.517168890687764
何必,707,1.208634772937148
江边,9125,0.6011048341153955
我心,745,0.5857668832415357
清光,707,0.6847110424732795
犹在,707,0.6990655015809495
冥冥,707,0.8286243840427068
门外,707,0.7154175492180743
波涛,707,0.5854163891945445
凄凉,707,0.48427980103991697
男儿,707,0.5693098311936412
山河,745,0.517679760094897
从容,707,0.7546366284775375
此心,707,0.9396209530786354
去年,707,1.1228844325290956
相随,707,0.5513753721885467
袅袅,707,0.6514319083805847
沈沈,707,0.48996445309313347
管弦,707,0.5646619129467428
别后,707,0.9385254344310344
昨夜,707,1.0234216293002254
阳春,707,0.7441424933539491
翠微,707,1.0573943014788465
雨露,707,0.6624387281346159
清晨,745,1.560665486898507
未知,707,0.681291182202301
消息,707,0.7759890616809549
江山,707,0.7157206192950206
黄河,707,0.8618821987724486
流年,7726,0.8737950329388875
太守,707,0.718979239176073
春色,707,1.5670345231152734
江海,707,0.9547842296731334
君不,707,0.9425922865798259
佳期,180,1.02594968328749
云外,745,0.7194579103530319
千金,707,0.9752746163552605
何日,707,1.4215418323614695
相识,707,1.192722990656051
今年,707,1.3347367289896968
欢娱,707,0.6444316994875573
逶迤,707,0.6882521530805681
楼上,707,0.8498757290668899
浮生,2610,0.8725904117074705
几人,707,0.7627959762010914
今来,707,1.089380626280843
十二,707,0.9747867733583078
古木,707,0.4907000391522444
明时,707,0.6417605417009877
日日,707,1.4549989473936273
风烟,707,0.49512842157751064
人稀,8747,0.7124150742594181
还家,707,0.9582968586777815
十里,707,0.5499095580965323
东流,707,1.0535796998876459
二十,707,1.4597633399610759
四时,707,0.8266741457441128
九重,707,0.7227009224309707
所思,707,0.6308373064738125
远近,707,0.7965712977841941
四邻,707,0.6028552950518186
无情,745,0.7766142871494252
芳菲,707,1.167348061327211
天台,707,0.8553516590919722
忆昔,707,0.606354315168795
回头,707,0.6816050712107915
岂知,707,0.8211753043412285
从来,707,1.0348368408189903
千古,707,0.483081870425519
白马,707,0.7057732889051525
蛟龙,745,0.9794363095101304
独坐,707,0.7627093297772319
云间,707,0.8580901790345378
兄弟,707,0.7502789950902243
不为,707,0.9299854726138871
清秋,707,0.6009608585399625
岂无,707,1.0802786849457733
汉家,707,0.824004601487395
自古,707,0.6820451370284211
蛾眉,707,1.0112804635858637
苍生,707,0.8504031008979935
不可,692,1.2478861576115252
笙歌,707,1.1838443789271391
莓苔,707,0.8801338264547968
出门,707,0.924986426498338
江流,8368,0.40046166159988
离别,707,1.3667575540238055
依依,707,0.7021425694282256
乔木,7726,0.5209530164186207
天寒,9125,0.7820512132148911
上天,745,0.9171336006099312
马蹄,707,0.6750577640497247
圣主,7262,0.9422725135460731
佳人,707,0.8161298658757947
往事,707,0.9159288838698875
一时,707,1.1548161698172155
江城,9125,0.496123837586144
由来,707,0.834438134080955
大道,707,0.9206200278106598
春来,707,1.318972273949749
闭门,745,0.3291084847367157
何年,707,0.7016994138312878
谢公,707,0.9529583115965383
世事,707,0.9795511407889979
梦魂,7262,0.8295888556337567
依然,7185,0.6044660578090857
风景,707,0.7848896284352311
鼓鼙,9039,0.5930269765703389
苍茫,707,0.727310479835238
左右,707,0.6963606203134212
泠泠,745,0.478329508133586
不用,707,1.0774698124358482
人知,707,0.8486260372573788
风光,707,1.1142866538544343
人情,707,0.7616470587330154
相如,745,0.599223832638268
一片,707,1.2096126901117332
万事,707,0.8167226376666539
上客,7848,0.9483671832806941
云归,5783,0.7935640804611068
高阁,745,1.3659904563068894
凄凄,2610,0.668564553667665
氛氲,707,0.7561449388412195
东南,707,0.8517757109495032
朱门,707,0.8122219567872052
夜月,10604,0.42709191664310736
烟波,707,0.9483949763710781
故国,707,0.5832594347903514
无言,707,1.0427661090374303
吟诗,707,0.41729051538640194
几回,552,0.7506071476183367
蒙蒙,7131,0.3635113594683219
我有,707,0.8837400508286107
人事,707,0.7722690099572267
不成,707,0.9740165665440539
路长,707,0.7179322692058778
此日,707,0.4396014740203298
别来,707,0.5989377984008433
光辉,707,0.9003567272328331
未能,707,0.722730628028751
北风,707,0.8037648650967396
几日,9125,0.562355753588206
自从,707,0.9290495666102181
